wavelength,flux,flux_err,weight
2066.0,2.4333458525774674e-14,1.0403130021946885e-15,1.0
2067.4,2.5323224161228998e-14,1.0850462134182892e-15,1.0
2068.8,2.5075313929216707e-14,1.2140779648305335e-15,1.0
2070.2,2.3621196375304426e-14,1.2044194398006656e-15,1.0
2071.6,2.282762338323649e-14,1.0416240749616872e-15,1.0
2073.0,2.28232522351906e-14,1.0022028299235608e-15,1.0
2074.4,2.1543062707016365e-14,9.57855445006033e-16,1.0
2075.8,2.040854308327871e-14,9.367033671628976e-16,1.0
2077.2,1.9914151970453345e-14,9.43017126617453e-16,1.0
2078.6,2.0583819063867497e-14,1.0425231560210419e-15,1.0
2080.0,2.1462056113206068e-14,1.0115852346804654e-15,1.0
2081.4,2.2823363682672315e-14,9.867918073343318e-16,1.0
2082.8,2.0042539052138657e-14,9.572800609369834e-16,1.0
2084.2,1.897156154212546e-14,9.148298758020102e-16,1.0
2085.6,2.0977795519168713e-14,9.537713686229613e-16,1.0
2087.0,1.9666955170379206e-14,9.685685320176943e-16,1.0
2088.4,2.1079685543757594e-14,9.513190066634614e-16,1.0
2089.8,1.8116838399772758e-14,8.718160737756856e-16,1.0
2091.2,1.888963546172966e-14,8.762077760025426e-16,1.0
2092.6,1.8997472165357368e-14,8.765362127291883e-16,1.0
2094.0,1.8686234719194898e-14,8.986447957913836e-16,1.0
2095.4,1.7685059626873703e-14,9.459285989553074e-16,1.0
2096.8,2.0144708955902487e-14,9.790126343144395e-16,1.0
2098.2,1.8872779307089443e-14,8.727671709258608e-16,1.0
2099.6,1.7990610700367125e-14,9.348309384675305e-16,1.0
2101.0,1.8058823660204395e-14,8.5001145579290265e-16,1.0
2102.4,1.7637462454724982e-14,8.917651466601512e-16,1.0
2103.8,1.8158241531382357e-14,8.808305796682794e-16,1.0
2105.2,1.8735177137665497e-14,8.300664181036307e-16,1.0
2106.6,1.6103798913575444e-14,8.040442590745269e-16,1.0
2108.0,1.8190583228336075e-14,8.873573216431621e-16,1.0
2109.4,1.651923916292898e-14,9.561032239333474e-16,1.0
2110.8,1.8401365590226082e-14,8.370204121090176e-16,1.0
2112.2,1.7525248180048947e-14,1.04084569275754e-15,1.0
2113.6,1.6310115616853234e-14,8.014110503031656e-16,1.0
2115.0,1.7554911088084333e-14,8.071616642228877e-16,1.0
2116.4,1.5761087725020683e-14,8.149566573738051e-16,1.0
2117.8,1.714102515750083e-14,7.999272985492527e-16,1.0
2119.2,1.5179593538656124e-14,7.821613208185107e-16,1.0
2120.6,1.4849027093183617e-14,8.64224498642215e-16,1.0
2122.0,1.559757100264313e-14,7.491609581498888e-16,1.0
2123.4,1.540336201439351e-14,7.458673285694989e-16,1.0
2124.8,1.513929834893667e-14,7.406198013153967e-16,1.0
2126.2,1.4744455061098822e-14,7.253449177061128e-16,1.0
2127.6,1.5886191239710116e-14,7.347053879743767e-16,1.0
2129.0,1.4606540433205953e-14,7.129142158524744e-16,1.0
2130.4,1.5281964300782823e-14,7.181495881143116e-16,1.0
2131.8,1.478987870305448e-14,7.143682414904644e-16,1.0
2133.2,1.5338671245611723e-14,7.281907161990603e-16,1.0
2134.6,1.5408251725837252e-14,7.325917694765645e-16,1.0
2136.0,1.5059957053751536e-14,7.26794786591007e-16,1.0
2137.4,1.385280146178692e-14,7.050632371216151e-16,1.0
2138.8,1.4288252145207767e-14,7.110976145539718e-16,1.0
2140.2,1.459714652943011e-14,7.001407342526158e-16,1.0
2141.6,1.3829602050463568e-14,7.009119751614992e-16,1.0
2143.0,1.4737306681453455e-14,7.026624542020233e-16,1.0
2144.4,1.467687435389618e-14,7.307893440014535e-16,1.0
2145.8,1.3576516832576866e-14,7.044989061635643e-16,1.0
2147.2,1.3867489860401772e-14,6.657074811503742e-16,1.0
2148.6,1.366793167325048e-14,6.939286927019398e-16,1.0
2150.0,1.3591992720788207e-14,7.082216431555721e-16,1.0
2151.4,1.476763594243902e-14,7.355577575737035e-16,1.0
2152.8,1.51857251100516e-14,7.054007668180372e-16,1.0
2154.2,1.579991444490812e-14,7.960012450389087e-16,1.0
2155.6,1.4696875598027757e-14,7.628171878677458e-16,1.0
2157.0,1.4539813118388584e-14,7.259444240482178e-16,1.0
2158.4,1.33698697989426e-14,6.7214027686606345e-16,1.0
2159.8,1.278054911915411e-14,6.353271419575396e-16,1.0
2161.2,1.4363694887523914e-14,6.733365823113073e-16,1.0
2162.6,1.4928201874527152e-14,6.605831201618871e-16,1.0
2164.0,1.3307475670278558e-14,6.338747835075478e-16,1.0
2165.4,1.2529547355392e-14,6.229251190534978e-16,1.0
2166.8,1.3665535530364322e-14,6.648977339971376e-16,1.0
2168.2,1.3287636906009584e-14,7.203880045082594e-16,1.0
2169.6,1.333147911548517e-14,6.319602064087082e-16,1.0
2171.0,1.3857279858047198e-14,6.242900556221761e-16,1.0
2172.4,1.2697449268756707e-14,6.092058137558673e-16,1.0
2173.8,1.180019547354416e-14,6.995710400361114e-16,1.0
2175.2,1.2796783077457003e-14,6.105315450573753e-16,1.0
2176.6,1.3065371918327482e-14,6.169613799200126e-16,1.0
2178.0,1.0969520499169374e-14,6.338083176820153e-16,1.0
2179.4,1.1673671658664194e-14,6.263690137462611e-16,1.0
2180.8,1.2831713969535648e-14,6.072727913858159e-16,1.0
2182.2,1.125292582173814e-14,5.814048498853278e-16,1.0
2183.6,1.1948927690926884e-14,6.064466233105497e-16,1.0
2185.0,1.2909131920506856e-14,6.0618781661557145e-16,1.0
2186.4,1.257890102839228e-14,5.875139985855395e-16,1.0
2187.8,1.2433548147865452e-14,5.893584011879641e-16,1.0
2189.2,1.1831256456372999e-14,5.95022705393854e-16,1.0
2190.6,1.211820832986666e-14,5.787721589673322e-16,1.0
2192.0,1.1599162386402201e-14,5.709900232509174e-16,1.0
2193.4,1.1074568580894125e-14,5.909195326318963e-16,1.0
2194.8,1.2330303696647554e-14,7.220125279380152e-16,1.0
2196.2,1.2161909566869881e-14,6.069110965406567e-16,1.0
2197.6,1.1328428417397724e-14,5.766004783960883e-16,1.0
2199.0,1.0670003155167258e-14,5.866586295080912e-16,1.0
2200.4,1.1638934866860882e-14,5.800334845045501e-16,1.0
2201.8,1.1254831690182477e-14,6.045382195643109e-16,1.0
2203.2,1.0389289454022398e-14,5.526049839341614e-16,1.0
2204.6,1.093371542203484e-14,5.620083509822771e-16,1.0
2206.0,1.1239202805894114e-14,5.98653285753907e-16,1.0
2207.4,1.0413887462174216e-14,6.371884206261248e-16,1.0
2208.8,1.1454494445344499e-14,5.627390248592213e-16,1.0
2210.2,1.2906698178564182e-14,6.393711652236281e-16,1.0
2211.6,1.3079858085686374e-14,6.840243224458517e-16,1.0
2213.0,1.285295539536755e-14,5.581434296848852e-16,1.0
2214.4,1.1191941138908169e-14,5.689309240083324e-16,1.0
2215.8,9.39692927323626e-15,5.576650888426369e-16,1.0
2217.2,9.72659487790959e-15,5.312962303806293e-16,1.0
2218.6,1.0358465245024872e-14,5.306266839896495e-16,1.0
2220.0,1.0308771085113353e-14,5.142531356805587e-16,1.0
2221.4,1.0285457011490911e-14,5.668896945742119e-16,1.0
2222.8,1.0195896132350345e-14,5.48025929088049e-16,1.0
2224.2,1.1338786920339535e-14,6.269466866465475e-16,1.0
2225.6,1.0898949125785064e-14,5.853847184059489e-16,1.0
2227.0,9.722007443121922e-15,5.081920210442285e-16,1.0
2228.4,1.0333982721775167e-14,5.243156114457546e-16,1.0
2229.8,1.01763841949139e-14,5.268973197467044e-16,1.0
2231.2,1.0280684020935024e-14,5.143033118450237e-16,1.0
2232.6,1.0943393029542674e-14,6.060212703217583e-16,1.0
2234.0,1.1153252361682784e-14,5.660771949367335e-16,1.0
2235.4,9.227797710774397e-15,4.994338198649274e-16,1.0
2236.8,9.971704104386922e-15,5.056359511600843e-16,1.0
2238.2,1.16686313518111e-14,5.299510569998815e-16,1.0
2239.6,1.0273150041318817e-14,5.068069742311467e-16,1.0
2241.0,9.874380676102106e-15,5.08851640827944e-16,1.0
2242.4,1.1139903990380252e-14,5.44339832040992e-16,1.0
2243.8,1.0836553947066146e-14,6.134311363638807e-16,1.0
2245.2,1.1064560677404009e-14,5.546954366195379e-16,1.0
2246.6,1.053097006204283e-14,5.461203638481634e-16,1.0
2248.0,1.1937630910403961e-14,5.293700065082504e-16,1.0
2249.4,9.748414981475647e-15,4.983259742629862e-16,1.0
2250.8,1.0028040005334066e-14,4.999639424173127e-16,1.0
2252.2,1.1158227810995877e-14,5.129789337674579e-16,1.0
2253.6,1.0879551732168847e-14,5.344375593784167e-16,1.0
2255.0,1.1408541414967979e-14,6.353843475093867e-16,1.0
2256.4,1.1508652381801775e-14,4.993178317045027e-16,1.0
2257.8,1.1511178264523195e-14,5.161306835704859e-16,1.0
2259.2,1.2173200294764789e-14,5.055081199777841e-16,1.0
2260.6,1.192618309647641e-14,5.178946163145751e-16,1.0
2262.0,1.1671913755659714e-14,5.634474514661666e-16,1.0
2263.4,1.2127003034506779e-14,5.423266763982181e-16,1.0
2264.8,1.227616970369789e-14,4.950089371596751e-16,1.0
2266.2,1.2746892958519922e-14,5.605330527901012e-16,1.0
2267.6,1.2906425505539422e-14,6.056305997585679e-16,1.0
2269.0,1.2492825146008219e-14,5.13865124078556e-16,1.0
2270.4,1.3491111298353732e-14,5.154506530889988e-16,1.0
2271.8,1.4008114218004132e-14,5.584422771829022e-16,1.0
